date	where	score	winner	loser
2021-08-25	H	4-0	Huntington University	Marian University - WI
2021-08-25	N	4-0	Marian University - WI	Spring Arbor University
2021-08-25	A	4-3	Spring Arbor University	Huntington University
2021-08-28	A	4-3	Bethel College - IN	Mount Vernon Nazarene University
2021-08-28	N	7-0	Grace College & Seminary	Bethel College - IN
2021-08-28	N	6-1	Indiana Wesleyan University	Goshen College
2021-08-28	A	7-0	Indiana Wesleyan University	University of Saint Francis - IN
2021-08-28	A	4-3	Lawrence Technological University	Spring Arbor University
2021-09-02	H	7-0	Indiana Wesleyan University	Holy Cross College (Indiana)
2021-09-02	H	4-0	Indiana Wesleyan University	Holy Cross College (Indiana)
2021-09-02	H	9-0	St. Vincent College	Washington & Jefferson College
2021-09-03	N	4-0	Holy Cross College (Indiana)	Goshen College
2021-09-03	N	4-3	Holy Cross College (Indiana)	Lawrence Technological University
2021-09-03	H	4-0	Indiana Wesleyan University	Lawrence Technological University
2021-09-03	H	4-1	Indiana Wesleyan University	Olivet Nazarene University
2021-09-04	H	9-0	Allegheny College	Washington & Jefferson College
2021-09-04	A	5-1	Anderson University - IN	Kentucky Wesleyan College
2021-09-04	H	8-1	Brevard College	Johnson University
2021-09-04	N	8-1	Greenville College	Loras College
2021-09-04	A	7-0	Huntington University	Bethel College - IN
2021-09-04	H	6-1	Indiana University East	Wittenberg University
2021-09-04	A	7-0	Indiana Wesleyan University	Bethel College - IN
2021-09-04	N	7-0	Indiana Wesleyan University	Huntington University
2021-09-04	H	7-0	Marian University - WI	University of Saint Francis - IN
2021-09-04	H	5-4	Messiah College	University of Scranton
2021-09-04	A	7-0	Oakland City University	Kentucky Wesleyan College
2021-09-04	A	5-2	Spring Arbor University	Goshen College
2021-09-04	N	7-0	Spring Arbor University	Mount Vernon Nazarene University
2021-09-06	A	6-1	Cowley County Community College	McPherson College
2021-09-06	A	8-1	Webster University	Illinois College
2021-09-07	H	5-0	Huntington University	Lawrence Technological University
2021-09-07	H	5-1	Indiana Wesleyan University	DePauw University
2021-09-07	A	5-2	Otterbein University	Mount Vernon Nazarene University
2021-09-08	A	9-0	Cedarville University	Ohio Wesleyan University
2021-09-08	A	9-0	Cornerstone University	Calvin University
2021-09-08	H	7-0	Edinboro University of Pennsylvania	Allegheny College
2021-09-08	A	7-0	McKendree University	Lewis & Clark Community College
2021-09-08	H	8-1	Nazareth College of Rochester	Penn State Erie, The Behrend College
2021-09-08	A	9-0	North Central College	Illinois Wesleyan University
2021-09-10	A	9-0	Calvin University	Manchester College
2021-09-10	A	5-2	Franklin Pierce College	College of the Holy Cross
2021-09-10	H	6-3	Nichols College	Wheaton College - MA
2021-09-11	H	5-4	Anderson University - IN	Calvin University
2021-09-11	H	7-2	Anderson University - IN	Webster University
2021-09-11	H	8-1	Augustana College - IL	Illinois Wesleyan University
2021-09-11	H	9-0	Gettysburg College	Catholic University of America
2021-09-11	N	6-3	Grand View University	Hamline University
2021-09-11	A	5-4	Grand View University	Wartburg College
2021-09-11	H	9-0	Greenville College	Webster University
2021-09-11	N	9-0	Grinnell College	Illinois Wesleyan University
2021-09-11	A	9-0	Grove City College	Mount Union College
2021-09-11	N	6-1	Huntington University	Goshen College
2021-09-11	H	7-0	Indiana Wesleyan University	Hanover College
2021-09-11	H	7-0	Indiana Wesleyan University	Marian University - WI
